Index,Symbol,Name
1160,EUR-CUP.F,EUR-CUP.F
1161,EURTHB=X,EUR/THB
1162,EURHTG=X,EUR/HTG
1163,EUR-VND.F,EUR-VND.F
1164,EUR-ISK.F,EUR-ISK.F
1165,EURARS=X,EUR/ARS
1166,EURKMF=X,EUR/KMF
1167,EUR-SYP.F,EUR-SYP.F
1168,EGPEUR=X,EGP/EUR
1169,EUR-CHF.F,EUR-CHF.F
1170,EURZWL=X,EUR/ZWL
1171,EURDJF=X,EUR/DJF
1172,EUR-SCR.F,EUR-SCR.F
1173,EUR-DKK.F,EUR-DKK.F
1174,EGPSAR=X,EGP/SAR
1175,EGPJOD=X,EGP/JOD
1176,EURFKP=X,EUR/FKP
1177,EURMAD=X,EUR/MAD
1178,EURLRD=X,EUR/LRD
1179,EUR-GMD.F,EUR-GMD.F
1180,EUR-ZAR.F,EUR-ZAR.F
1181,EUR-QAR.F,EUR-QAR.F
1182,EONK.F,EONK.F
1183,EGPPKR=X,EGP/PKR
1184,EURDKK=X,EUR/DKK
1185,EURIQD=X,EUR/IQD
1186,EUR-HKD.F,EUR-HKD.F
1187,EUR-AOA.F,EUR-AOA.F
1188,EGPLKR=X,EGP/LKR
1189,EURAZN=X,EUR/AZN
1190,EURGYD=X,EUR/GYD
1191,EGPOMR=X,EGP/OMR
1192,EURMOP=X,EUR/MOP
1193,EUR-SOS.F,EUR-SOS.F
1194,EUR-XDR.F,EUR-XDR.F
1195,EGPRUB=X,EGP/RUB
1196,EGPLVL=X,EGP/LVL
1197,EUR-CZK.F,EUR-CZK.F
1198,EUR-MOP.F,EUR-MOP.F
1199,EGPHKD=X,EGP/HKD
1200,EUR-XCD.F,EUR-XCD.F
1201,EOYN.F,EOYN.F
1202,EURKHR=X,EUR/KHR
1203,EURSEK=X,EUR/SEK
1204,EURAWG=X,EUR/AWG
1205,EUR-LRD.F,EUR-LRD.F
1206,IDEPM.MDD,IDEPM.MDD
1207,EUR-IRR.F,EUR-IRR.F
1208,EUR-GTQ.F,EUR-GTQ.F
1209,EUR-PYG.F,EUR-PYG.F
1210,EURTZS=X,EUR/TZS
1211,EUR-CNH.F,EUR-CNH.F
1212,EURBYR=X,EUR/BYR
1213,EUROMR=X,EUR/OMR
1214,EURBRL=X,EUR/BRL
1215,EURIRR=X,EUR/IRR
1216,EGPSEK=X,EGP/SEK
1217,EURKYD=X,EUR/KYD
1218,EURANG=X,EUR/ANG
1219,EURGNF=X,EUR/GNF
1220,EUR-RON.F,EUR-RON.F
1221,EUR-KHR.F,EUR-KHR.F
1222,EURPGK=X,EUR/PGK
1223,EURNGN=X,EUR/NGN
1224,EUR-GNF.F,EUR-GNF.F
1225,EUR-DJF.F,EUR-DJF.F
1226,EURTWD=X,EUR/TWD
1227,EUR-KYD.F,EUR-KYD.F
1228,EUR-MRO.F,EUR/MRO
1229,EURQAR=X,EUR/QAR
1230,EUR-BAM.F,EUR-BAM.F
1231,EURVEF=X,EUR/VEF
1232,ERNUSD=X,ERN/USD
1233,EURRUB=X,EUR/RUB
1234,EUR-BBD.F,EUR-BBD.F
1235,EURFJD=X,EUR/FJD
1236,EOCD.F,EOCD.F
1237,EUR-LYD.F,EUR-LYD.F
1238,EURKGS=X,EUR/KGS
1239,EUR-ARS.F,EUR-ARS.F
1240,EURLSL=X,EUR/LSL
1241,EURUZS=X,EUR/UZS
1242,EURSDG=X,EUR/SDG
1243,EUR-NAD.F,EUR-NAD.F
1244,EURVUV=X,EUR/VUV
1245,EUR-JMD.F,EUR-JMD.F
1246,EUR-SAR.F,EUR-SAR.F
1247,EUR-NZD.F,EUR-NZD.F
1248,EURBBD=X,EUR/BBD
1249,EURBHD=X,EUR/BHD
1250,EUR-CDF.F,EUR-CDF.F
1251,EUR-TMM.F,EUR-TMM.F
1252,EUR-BRL.F,EUR-BRL.F
1253,EURTTD=X,EUR/TTD
1254,EUR-TMT.F,EUR-TMT.F
1255,EURCDF=X,EUR/CDF
1256,EURPHP=X,EUR/PHP
1257,EURSZL=X,EUR/SZL
1258,EURLTL=X,EUR/LTL
1259,EUR-INR.F,EUR-INR.F
1260,EUR-JPY.F,EUR-JPY.F
1261,EURUAH=X,EUR/UAH
1262,EURBTN=X,EUR/BTN
1263,EUR-CAD.F,EUR-CAD.F
1264,EUR-WST.F,EUR-WST.F
1265,ETBGBP=X,ETB/GBP
1266,EURJMD=X,EUR/JMD
1267,EURKPW=X,EUR/KPW
1268,EUR-PLN.F,EUR-PLN.F
1269,EUR-AUD.F,EUR-AUD.F
1270,EUR-ZMW.F,EUR-ZMW.F
1271,EUR-BGN.F,EUR-BGN.F
1272,EURXOF=X,EUR/XOF
1273,EUR-BND.F,EUR-BND.F
1274,EUR-STD.F,EUR-STD.F
1275,EGPPLN=X,EGP/PLN
1276,EUR-UAH.F,EUR-UAH.F
1277,ETBUSD=X,ETB/USD
1278,EUR-KGS.F,EUR-KGS.F
1279,EURCNH=X,EUR/CNH
1280,EUR-SGD.F,EUR-SGD.F
1281,EURXDR=X,EUR/XDR
1282,EUREUR=X,EUR/EUR
1283,EURTJS=X,EUR/TJS
1284,EUR-EEK.F,EUR-EEK.F
1285,EUR-IDR.F,EUR-IDR.F
1286,EURTND=X,EUR/TND
1287,EUR-MVR.F,EUR-MVR.F
1288,EOLS.F,EOLS.F
1289,EURRWF=X,EUR/RWF
1290,EURMZN=X,EUR/MZN
1291,EURKWD=X,EUR/KWD
1292,ERNEUR=X,ERN/EUR
1293,EUR-RUB.F,EUR-RUB.F
1294,EUR-TWD.F,EUR-TWD.F
1295,EUR-LAK.F,EUR-LAK.F
1296,EURSRD=X,EUR/SRD
1297,EURNOK=X,EUR/NOK
1298,EGPTND=X,EGP/TND
1299,EGPLTL=X,EGP/LTL
1300,EURSHP=X,EUR/SHP
1301,EURBND=X,EUR/BND
1302,EURSCR=X,EUR/SCR
1303,EURNIO=X,EUR/NIO
1304,EUR-RSD.F,EUR-RSD.F
1305,EUR-KWD.F,EUR-KWD.F
1306,EURGMD=X,EUR/GMD
1307,EUR-CRC.F,EUR-CRC.F
1308,EUR-CVE.F,EUR-CVE.F
1309,EURWST=X,EUR/WST
1310,EUR-LSL.F,EUR-LSL.F
1311,EGP=X,USD/EGP
1312,EUR-LKR.F,EUR-LKR.F
